timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1583443836.4862897,8,3,3,24,4,13,12,16
1583443836.4862897,1,-12,-31,8,14,3,5,7
1583443836.4979649,1,8,15,8,-6,-2,4,1
1583443836.4979649,-1,-2,1,-27,-21,-13,-8,-2
1583443836.5017555,-5,-3,8,19,9,0,-7,-12
1583443836.5017555,2,-3,-22,-69,-1,10,6,4
1583443836.5116,2,2,-7,-59,-6,-1,4,0
1583443836.5116,-6,-1,-3,-34,-15,-21,-15,-14
1583443836.5218008,-12,-8,-2,127,9,-2,-16,-21
1583443836.5218008,-1,5,0,-20,-6,-2,0,-4
1583443836.534464,-4,-3,-7,107,4,0,-6,-8
1583443836.534464,1,0,35,17,-1,2,3,6
1583443836.5449471,4,-2,-1,-73,-3,1,3,3
1583443836.5449471,1,5,-9,-56,-5,1,1,-5
1583443836.5586975,-4,1,-13,-32,-4,-1,-2,-6
1583443836.5586975,-1,-5,17,16,-7,-4,1,-2
1583443836.5659943,-1,-19,20,54,20,5,0,-1
1583443836.5659943,-3,-33,-4,-12,3,4,3,1
1583443836.5721428,-2,-41,35,38,12,9,0,-2
1583443836.5721428,-4,1,-23,-13,-8,-10,-1,-1
1583443836.5815158,-2,-7,42,-10,-1,-5,-4,0
1583443836.5815158,0,50,-1,2,-9,0,1,-3
1583443836.5945435,1,45,-31,-5,8,1,0,-5
1583443836.5945435,-5,27,-28,14,17,0,-10,-9
1583443836.6046536,3,20,-1,-24,15,-5,-6,-1
1583443836.6046536,-7,9,-66,-9,8,-7,-6,-11
1583443836.6184556,-6,1,-16,17,-14,-4,-4,-10
1583443836.6184556,0,-12,13,-91,-42,-6,3,0
1583443836.6249545,1,-16,20,-10,-52,-1,-3,0
1583443836.6249545,-5,-12,18,5,-9,5,-7,-7
1583443836.6317418,3,-6,0,-17,-9,-2,3,3
1583443836.6317418,1,-5,24,11,2,-4,-6,-1
1583443836.6411343,1,-7,-4,-13,-2,-3,3,2
1583443836.6411343,3,-1,2,-8,9,0,6,2
1583443836.654471,-3,-4,-9,9,18,9,-4,-6
1583443836.654471,-5,0,19,-4,-14,-16,-10,-8
1583443836.6644404,4,-9,7,-2,8,-3,1,6
1583443836.6644404,-14,1,16,-47,-42,-27,-19,-18
1583443836.678618,-6,-1,5,15,5,1,-6,-10
1583443836.678618,-7,-6,25,16,0,-5,-13,-12
1583443836.6850133,-1,4,30,-8,-24,-17,-12,-8
1583443836.6850133,-3,-1,-3,-1,2,-5,-4,-1
1583443836.6912353,-2,-3,-3,9,4,4,0,-4
1583443836.6912353,6,2,0,-3,-2,2,7,7
1583443836.700347,1,0,11,18,11,5,0,5
1583443836.700347,16,-11,-54,17,28,20,33,30
1583443836.7141287,-10,13,3,9,-5,-5,-10,-14
1583443836.7141287,1,1,10,-10,-7,-8,0,4
1583443836.7239716,-2,-9,-14,-20,-22,-13,-6,-4
1583443836.7239716,3,7,4,20,9,4,1,-5
1583443836.7378364,6,8,-2,21,25,22,16,15
1583443836.7378364,-5,-5,12,10,-2,-5,-2,-7
1583443836.7444572,3,0,2,-18,-40,-38,-13,-5
1583443836.7444572,-4,0,-5,-22,-30,-69,-11,-5
1583443836.7605135,10,15,-26,20,41,87,31,18
1583443836.7605135,7,3,24,52,91,65,19,10
1583443836.7658572,-12,-14,15,-21,-45,-128,-38,-16
1583443836.7658572,2,-8,51,116,127,127,20,5
1583443836.7747133,24,15,20,-23,-100,-92,3,30
1583443836.7747133,7,-10,15,127,127,127,61,18
1583443836.7847202,-27,-5,-31,-50,-128,-128,-40,-40
1583443836.7847202,3,-18,-31,-47,-128,-41,19,12
1583443836.7978687,16,34,-16,49,106,88,73,18
1583443836.7978687,-56,-31,-1,-79,-128,-29,-42,-93
1583443836.8045464,43,2,34,67,127,22,66,79
1583443836.8045464,39,45,-19,-14,-35,101,25,48
1583443836.820744,-58,-33,-16,-16,-128,-128,-96,-75
1583443836.820744,-7,-3,-9,-86,-79,127,17,-10
1583443836.8268511,-12,-1,2,-13,-39,-128,-55,-33
1583443836.8268511,0,-29,-21,-48,-10,127,50,25
1583443836.8345468,-3,9,-47,-36,-1,-49,-22,-29
1583443836.8345468,-4,-4,-38,-50,-72,-128,-41,7
1583443836.8443732,-5,6,-32,-51,-105,-128,-31,-16
1583443836.8443732,-2,-9,21,8,-114,-128,-53,-4
1583443836.8577416,7,-6,2,41,46,127,65,25
1583443836.8577416,-24,15,-31,-75,-46,-128,-53,-38
1583443836.8644826,45,23,61,24,40,95,29,40
1583443836.8644826,1,-19,-6,7,127,82,10,2
1583443836.8804324,-7,-21,-15,-51,-43,127,12,-9
1583443836.8804324,23,-20,30,108,127,127,96,49
1583443836.8858118,-14,-18,-10,-65,-72,-37,-32,-17
1583443836.8858118,14,9,-6,11,7,127,40,21
1583443836.8945687,-8,-9,-30,-39,27,-8,-23,-16
1583443836.8945687,3,4,-5,-3,-44,-49,-20,6
1583443836.904528,6,11,1,-29,-44,-101,-14,-10
1583443836.904528,-20,3,-55,-128,0,25,-26,-37
1583443836.9182343,-3,16,-26,-128,-46,117,5,-14
1583443836.9182343,-31,-10,11,-128,-128,-128,-89,-64
1583443836.9243925,5,-7,-29,127,70,127,101,34
1583443836.9243925,-20,-8,16,84,-90,-108,-62,-45
1583443836.9416435,-4,-2,-10,127,3,8,-31,-9
1583443836.9416435,11,2,-11,-75,13,-128,-5,19
1583443836.9476182,-3,-1,5,-54,-63,-1,-13,-17
1583443836.9476182,26,-17,22,-2,127,127,124,54
1583443836.9543738,-6,6,-5,-42,-9,-25,-12,-9
1583443836.9543738,-6,-5,-3,10,-30,-13,-22,-10
1583443836.9643667,3,-5,2,-62,-14,5,-2,7
1583443836.9643667,-2,1,-11,-36,-10,19,-5,-5
1583443836.9779804,1,0,-9,22,93,-51,-22,-7
1583443836.9779804,-9,-4,6,14,22,-76,-19,-12
1583443836.9851165,0,0,-12,-31,68,50,12,-4
1583443836.9851165,22,-2,50,-18,10,86,66,40
1583443837.0012999,0,1,-5,112,49,93,51,12
1583443837.0012999,-3,-6,8,-36,2,-63,-6,1
1583443837.0075052,37,-12,57,127,127,127,122,79
1583443837.0075052,-5,4,-25,-54,-42,-46,-15,-15
1583443837.0142274,-7,2,-6,14,-25,-109,-33,-20
1583443837.0142274,-7,-5,-11,-39,-79,-35,-17,-11
1583443837.0243,9,-6,5,-24,-5,65,13,12
1583443837.0243,-6,6,-1,-15,-1,-128,-37,-19
1583443837.0380938,0,-3,-22,62,21,11,30,11
1583443837.0380938,-3,-2,-15,-52,-53,-36,-13,-12
1583443837.0441053,6,-1,14,7,38,-9,-9,-2
1583443837.0441053,8,0,14,58,50,106,52,23
1583443837.0612838,4,1,-2,16,-12,10,6,6
1583443837.0612838,1,-5,-8,-90,-26,3,-1,2
1583443837.0674233,2,-1,21,123,90,10,3,5
1583443837.0674233,7,3,13,-13,62,20,11,9
1583443837.0750587,-7,7,-16,-4,-45,-8,-11,-15
1583443837.0750587,1,-2,20,86,59,36,21,10
1583443837.0848134,2,1,3,-5,10,-4,-6,-1
1583443837.0848134,1,2,-9,-8,-98,-4,-7,-3
1583443837.0976162,1,3,15,2,18,17,12,7
1583443837.0976162,0,-3,2,-15,5,5,2,4
1583443837.1047103,0,-4,-6,-11,-103,-4,-2,-6
1583443837.1047103,4,8,2,-5,-12,-2,-2,1
1583443837.1211877,-2,4,-13,-4,-11,-19,-10,-7
1583443837.1211877,-5,-28,-5,4,8,-8,-7,1
1583443837.127812,1,13,30,-5,-7,3,1,-3
1583443837.127812,4,-20,-9,10,3,4,12,14
1583443837.1349378,-1,-3,-1,-7,0,-2,0,-5
1583443837.1349378,-7,-40,-21,-17,-9,0,-4,-19
1583443837.1443524,7,12,9,1,16,14,4,1
1583443837.1443524,-3,16,24,-3,38,-4,4,12
1583443837.1584706,-11,-32,-24,-40,-16,-4,5,-3
1583443837.1584706,11,56,-17,87,11,-4,2,-8
1583443837.1643898,-6,-115,16,43,2,-18,-11,-17
1583443837.1643898,7,-21,32,-19,19,11,2,-30
1583443837.179935,5,52,8,-6,3,1,0,39
1583443837.179935,1,-62,-26,-36,-16,0,-5,-26
1583443837.182777,-1,-66,-49,3,3,7,2,23
1583443837.182777,-2,88,22,15,1,-6,3,-20
1583443837.193565,2,18,-25,-15,-2,-5,0,22
1583443837.193565,-5,-68,24,-20,1,7,7,2
1583443837.202497,-16,-7,-27,40,4,-2,-6,-9
1583443837.202497,0,-8,-1,-42,-6,-1,-5,-12
1583443837.2167678,3,3,-12,-8,-12,7,-2,-1
1583443837.2167678,0,-26,-23,-25,-12,-26,-8,-4
1583443837.2235658,5,-7,16,55,17,8,7,3
1583443837.2235658,0,29,2,0,-54,-4,-6,-3
1583443837.2474742,1,-10,3,14,35,2,2,-5
1583443837.2474742,2,-5,-1,-12,-9,-10,-3,-3
1583443837.2501829,-9,11,-19,-17,-6,-7,-2,1
1583443837.2501829,5,9,-7,7,-1,-1,-6,0
1583443837.2536192,-8,53,11,22,-1,2,4,-5
1583443837.2536192,-1,-16,-14,-7,0,1,-4,-7
1583443837.2625053,1,-29,23,36,13,-3,2,6
1583443837.2625053,6,5,9,-25,-13,11,9,4
1583443837.2768073,-4,13,4,19,-5,-6,-8,-3
1583443837.2768073,0,-4,4,-12,-2,-5,-4,0
1583443837.2835708,-1,-5,-3,-8,0,-6,-3,-1
1583443837.2835708,1,-1,-4,-5,13,-11,-9,-1
1583443837.3000367,-5,-1,-4,13,-22,-8,-3,-8
1583443837.3000367,10,0,9,-1,35,65,32,18
1583443837.3026943,-3,1,-4,-3,-11,-13,-5,-3
1583443837.3026943,-1,-1,-1,-8,-27,-39,-14,-5
1583443837.3136642,2,-1,11,22,46,99,28,8
1583443837.3136642,-1,-2,-1,-1,14,-7,-2,-2
1583443837.3225317,-4,0,-2,5,-2,-9,-6,0
1583443837.3225317,7,12,3,-8,-15,-7,1,5
1583443837.336815,-5,12,19,11,-16,-9,-8,-15
1583443837.336815,-5,-23,-44,8,25,4,-1,-10
1583443837.3442767,0,-20,12,-4,-1,4,-7,-4
1583443837.3442767,-6,-44,-37,3,13,-6,-3,-7
1583443837.3605075,7,-17,-22,2,1,3,1,2
1583443837.3605075,0,5,19,-46,-20,-12,-7,-6
1583443837.3652499,19,11,-28,3,3,0,6,5
1583443837.3652499,11,-39,22,-12,-8,-7,-7,2
1583443837.374527,9,-58,-54,-8,-14,-3,-2,2
1583443837.374527,-11,-17,15,18,-2,-8,-9,-6
1583443837.3845358,7,18,12,6,-11,-10,1,2
1583443837.3845358,2,2,-35,-19,13,-10,-18,-8
1583443837.397575,6,5,-7,-5,-7,1,12,9
1583443837.397575,-8,-2,11,-6,-16,-15,-18,-17
1583443837.404254,-6,3,-12,-13,-17,-14,-4,-3
1583443837.404254,10,9,16,-17,-22,-8,-3,2
