timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1584991649.745017,-16,-3,2,-2,-2,1,-1,-3
1584991649.745017,13,18,3,0,-3,0,0,2
1584991649.7599628,7,-1,-3,-2,-2,1,-4,5
1584991649.7599628,-2,-5,2,0,2,-2,-1,-1
1584991649.7611973,-4,3,0,-3,-2,0,4,0
1584991649.7611973,11,0,-1,1,-2,1,0,2
1584991649.7757516,0,-2,-3,-1,3,2,0,-2
1584991649.7757516,-5,1,-5,0,2,1,2,1
1584991649.7825463,11,4,2,2,-1,0,-2,-4
1584991649.7825463,-2,-2,-1,0,-1,0,-3,2
1584991649.796801,-5,-2,-1,-1,-3,-3,0,0
1584991649.796801,1,-1,0,2,-2,-2,-2,2
1584991649.80494,3,-2,1,2,-2,-3,0,2
1584991649.80494,4,-3,-3,0,-2,-2,-1,0
1584991649.8199935,8,3,-3,-2,1,1,-3,-1
1584991649.8199935,-4,0,-3,-1,-1,-1,-1,0
1584991649.8212085,1,-6,0,0,2,0,2,-1
1584991649.8212085,-1,0,-5,-3,-1,1,0,-1
1584991649.834299,-2,-3,1,-1,-3,-3,2,5
1584991649.834299,-5,7,2,2,-3,2,3,2
1584991649.842495,-1,1,0,0,-3,2,-2,-4
1584991649.842495,7,-4,-2,1,2,1,-3,1
1584991649.8567822,-2,-7,-2,1,1,-1,3,4
1584991649.8567822,-5,0,-7,0,2,-3,0,-1
1584991649.8650274,-3,9,0,0,-1,0,-3,-1
1584991649.8650274,3,7,1,1,1,2,1,-1
1584991649.8799937,1,-7,-2,-4,-2,0,-1,1
1584991649.8799937,-5,-5,-4,-3,-3,-4,1,-1
1584991649.8811834,-8,1,-3,-2,3,2,-2,-2
1584991649.8811834,8,-5,-2,-1,-5,-4,3,-3
1584991649.8942807,1,0,-3,-4,-1,-1,2,0
1584991649.8942807,-8,-3,-2,-1,0,4,-3,0
1584991649.9024804,6,2,3,1,1,-1,0,-4
1584991649.9024804,2,-2,-3,-3,0,0,-3,1
1584991649.9169018,0,-5,-3,-2,2,-2,-4,-2
1584991649.9169018,-8,2,2,2,0,0,0,0
1584991649.9250023,15,-4,2,-3,-4,-3,0,-1
1584991649.9250023,0,0,2,1,-1,0,-2,2
1584991649.9399638,-5,-6,-4,-2,-1,-1,-1,0
1584991649.9399638,4,8,7,4,-1,0,-3,-2
1584991649.9412405,-2,-3,-5,-4,1,0,-1,-3
1584991649.9412405,1,-8,-4,1,-1,-1,-3,-1
1584991649.9542453,-1,0,-3,-3,-1,-1,0,-5
1584991649.9542453,-9,0,-3,-1,2,-1,-2,0
1584991649.962503,0,6,-1,-5,-1,4,4,2
1584991649.962503,-1,-5,0,-1,-3,1,1,-1
1584991649.976805,0,2,-1,0,2,3,-1,0
1584991649.976805,5,-6,1,-3,0,1,1,-1
1584991649.9850512,-3,-3,0,1,-1,-2,1,-1
1584991649.9850512,0,9,6,0,1,-4,2,1
1584991649.9998953,8,-4,-5,0,-1,-4,0,-1
1584991649.9998953,-2,0,-2,0,0,-5,2,1
1584991650.0007463,-10,5,2,-1,1,1,1,-4
1584991650.0007463,6,-5,-4,-2,-2,-1,-1,-1
1584991650.0141983,-1,1,-3,-5,-3,-1,-2,1
1584991650.0141983,5,5,5,1,0,2,1,0
1584991650.02251,0,-4,0,-3,2,1,2,1
