timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1584990206.8323154,1,-2,-1,-3,-4,0,-4,2
1584990206.8323154,-1,1,4,0,0,3,3,7
1584990206.834449,6,1,-3,-3,2,-3,-1,1
1584990206.834449,1,-11,-2,-5,-1,-1,-1,4
1584990206.8472137,2,9,7,0,3,-1,-4,0
1584990206.8472137,-1,-1,1,-1,-2,-2,-2,8
1584990206.8489819,0,2,-2,2,2,0,2,-1
1584990206.8489819,-3,-1,-1,0,-1,0,-3,-5
1584990206.8623776,0,4,2,-2,-1,3,-1,-4
1584990206.8623776,-2,-4,-5,0,-1,-3,-1,-1
1584990206.864301,-3,5,2,2,-4,-2,0,0
1584990206.864301,-5,-6,1,0,-1,2,1,2
1584990206.88473,-4,-6,-1,1,-2,3,1,-2
1584990206.88473,3,5,-4,3,2,-1,-3,1
1584990206.886473,-2,-1,0,1,1,-3,0,2
1584990206.886473,9,1,-6,0,1,-1,1,-2
1584990206.9147706,-11,-7,-1,-3,2,-1,5,-3
1584990206.9147706,12,3,-2,-4,0,2,2,5
1584990206.9169033,-7,-4,-1,-2,-1,4,-5,-2
1584990206.9169033,6,3,2,-1,1,1,1,-4
1584990206.9223804,-9,-6,-1,-4,-1,-2,-4,0
1584990206.9223804,-1,4,-3,-1,0,-1,-1,0
1584990206.924264,3,-3,-3,-2,0,-1,0,-5
1584990206.924264,0,-3,2,-2,-1,2,3,3
1584990206.945213,2,-8,-2,-1,-3,-3,-1,3
1584990206.945213,-4,-3,2,0,3,-2,-4,-8
1584990206.9476745,7,7,-3,0,-3,1,0,-1
1584990206.9476745,-3,-5,-1,1,-1,2,0,-5
1584990206.9672303,2,-4,1,0,2,1,2,-1
1584990206.9672303,0,4,-1,0,2,-2,0,3
1584990206.969115,1,2,0,-1,-2,-2,-1,0
1584990206.969115,-1,-8,1,-2,0,-2,1,0
1584990206.9815595,2,-7,-2,-2,-4,-2,-3,2
1584990206.9815595,0,-1,-2,1,1,0,-5,-1
1584990206.9884,-14,1,-3,1,1,-5,-4,-5
1584990206.9884,-1,2,-2,-1,-2,-2,2,-4
1584990207.0046842,7,6,-3,-1,-1,1,0,5
1584990207.0046842,-2,1,1,-3,3,1,-3,0
1584990207.006346,6,-5,-3,1,-1,-1,-2,-6
1584990207.006346,2,-2,3,1,-4,-1,2,14
1584990207.0276704,0,-8,0,-7,0,0,-3,-13
1584990207.0276704,-5,-3,2,-3,-1,-1,1,1
1584990207.029109,1,5,2,1,-1,-1,-3,5
1584990207.029109,1,-5,2,-1,1,0,0,0
1584990207.04085,4,0,2,2,4,-1,0,6
1584990207.04085,-3,-1,1,-1,0,1,-1,-1
1584990207.0498369,-10,7,0,0,-3,-1,-1,4
1584990207.0498369,-9,-3,0,-4,2,2,0,-15
1584990207.0647883,15,-1,-4,0,-3,-6,-2,5
1584990207.0647883,9,7,6,4,1,1,-1,6
1584990207.0666068,1,-1,-4,1,0,1,3,3
1584990207.0666068,3,-5,0,-3,1,-2,-3,0
1584990207.0871754,-29,-5,0,-4,-1,-2,0,-6
1584990207.0871754,20,1,0,0,1,-2,0,-5
1584990207.0891995,-4,0,-3,2,0,3,-2,1
1584990207.0891995,-9,-10,2,-1,1,-2,-1,-6
1584990207.100864,5,-3,1,-4,1,-3,-1,-2
1584990207.100864,4,6,-1,-2,-1,-1,-2,1
1584990207.1097791,7,2,-5,2,-1,-3,2,2
1584990207.1097791,-8,-5,1,1,0,1,2,-3
1584990207.1247065,-23,-1,4,2,0,-4,-4,-5
1584990207.1247065,-8,4,-4,1,3,-2,-4,-3
1584990207.126347,29,3,0,0,-2,-2,2,6
1584990207.126347,-7,-8,-4,-1,-3,1,0,-10
1584990207.1473396,-17,-2,-2,-3,-5,2,-1,0
1584990207.1473396,30,16,4,1,0,-1,1,11
1584990207.149966,0,4,-3,-1,-3,0,0,9
1584990207.149966,-8,-9,1,2,-1,0,-1,-5
1584990207.1608205,2,-4,-5,-1,1,-3,2,3
1584990207.1608205,8,4,-1,-3,-3,0,0,3
1584990207.1709063,5,1,-4,-3,-1,-3,-4,0
1584990207.1709063,12,-1,1,-3,0,1,4,11
1584990207.1838443,-4,-5,-3,-5,1,2,0,2
1584990207.1838443,6,2,-2,3,0,-1,9,-2
1584990207.192179,0,3,-1,1,-1,-1,-6,-2
1584990207.192179,-3,-5,-4,1,-1,1,3,-2
1584990207.207186,-3,-3,-1,-4,-1,2,-1,-1
1584990207.207186,-2,0,0,1,3,-1,-1,-3
1584990207.2088661,4,7,3,1,1,-1,4,3
1584990207.2088661,-3,-7,-4,-2,-4,0,2,-1
1584990207.2208786,-5,-4,-4,-3,-2,-1,-1,6
1584990207.2208786,15,5,-4,2,-3,-2,-4,-3
1584990207.2300053,-7,8,4,-1,0,-3,-4,1
1584990207.2300053,-22,-10,-7,-2,0,-2,5,0
1584990207.2447765,10,2,0,-1,-1,-1,-7,2
1584990207.2447765,5,1,-3,6,-1,-1,0,2
1584990207.2465894,-1,-1,-2,1,-3,-3,1,-4
1584990207.2465894,-15,-1,1,0,-1,-1,-9,-1
1584990207.2672312,-2,-5,-3,-1,-2,-3,-18,-1
1584990207.2672312,8,6,4,-1,-2,-1,7,-4
1584990207.2686603,5,3,-4,-1,-1,5,20,6
1584990207.2686603,-6,-3,0,2,0,1,-6,0
1584990207.2808928,1,-4,0,2,-5,3,18,2
1584990207.2808928,3,-1,-2,0,-2,-2,-30,-1
1584990207.28976,-2,-1,-5,0,0,-3,13,-11
1584990207.28976,-1,-2,0,2,1,-2,5,5
