timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1584990510.086088,0,-1,1,-1,1,-1,0,-3
1584990510.086088,-1,-4,-1,-2,-2,2,-1,1
1584990510.0880756,-2,-1,0,0,-2,1,0,2
1584990510.0880756,-1,2,2,-1,-3,0,-2,1
1584990510.1010845,1,-1,2,1,1,1,0,-5
1584990510.1010845,-3,-1,-2,1,1,1,1,1
1584990510.1025026,0,-2,-1,-1,2,1,-3,-1
1584990510.1025026,-1,1,-1,-1,0,1,-3,1
1584990510.1235914,-2,-3,2,0,0,0,0,0
1584990510.1235914,0,-1,0,-2,-2,-2,-2,0
1584990510.1250103,-1,-1,0,-2,-5,-3,3,1
1584990510.1250103,-1,0,-3,0,-2,1,2,-2
1584990510.1465704,0,-2,-1,0,-3,1,-1,-1
1584990510.1465704,2,-3,-2,-1,2,-3,-1,-1
1584990510.1522512,-1,-3,-2,-2,-1,1,-2,-3
1584990510.1522512,0,1,-1,-1,5,0,0,0
1584990510.1610816,-1,1,0,-1,2,2,0,1
1584990510.1610816,-1,-1,-1,0,-1,1,-3,1
1584990510.1630657,0,1,3,-1,-1,-1,0,0
1584990510.1630657,1,1,-1,1,0,-1,-1,2
1584990510.1835976,1,-1,-3,0,-6,0,-3,-1
1584990510.1835976,-2,2,1,0,-4,-2,0,-5
1584990510.1852777,2,-2,-4,0,0,0,2,0
1584990510.1852777,3,1,-2,2,-2,0,0,0
1584990510.2060924,-4,-1,0,0,-3,1,0,-2
1584990510.2060924,-2,1,-2,0,-1,-2,-4,0
1584990510.2077482,-2,-2,1,-1,2,2,1,-1
1584990510.2077482,-1,0,-3,-1,0,1,-3,-4
1584990510.2210498,0,0,-1,0,1,1,2,1
1584990510.2210498,0,-3,-3,0,-5,-4,-4,-2
1584990510.2231977,0,0,-1,1,-2,-2,1,0
1584990510.2231977,0,0,2,-3,-1,-1,1,0
1584990510.2435825,-1,0,0,2,-1,-2,-2,-3
1584990510.2435825,0,0,3,-1,2,-2,0,1
1584990510.24525,2,2,0,-2,0,2,1,-2
1584990510.24525,1,-1,-3,-3,-1,-1,-3,-2
1584990510.2665603,-3,-4,-1,-2,-3,0,-3,-3
1584990510.2665603,1,0,1,-3,1,-2,-2,0
1584990510.2679017,-1,-3,1,0,0,-1,-1,1
1584990510.2679017,-2,-1,1,-1,3,-2,0,-2
1584990510.2803822,1,2,1,0,0,0,1,1
1584990510.2803822,-4,2,0,2,1,-3,-2,-3
1584990510.2872121,0,-1,0,-1,-2,-3,-1,-1
1584990510.2872121,1,2,-1,-4,-3,-2,-2,-1
1584990510.3036664,1,-1,-1,-3,0,1,-1,0
1584990510.3036664,1,-2,1,-1,-1,0,0,-4
1584990510.3054574,0,-1,-3,-2,-4,-1,-1,-1
1584990510.3054574,1,0,-1,0,0,-1,-1,-1
1584990510.32607,-1,-2,-2,-1,2,-2,-3,1
1584990510.32607,-2,-1,1,1,0,0,-2,1
1584990510.3277357,-1,0,-3,0,-1,1,1,0
1584990510.3277357,-1,-3,0,1,0,0,0,-2
1584990510.3397138,0,-1,0,0,2,-2,-6,1
1584990510.3397138,-1,-2,-3,1,-1,1,1,1
1584990510.3485968,-1,0,2,1,-3,-1,1,-2
1584990510.3485968,1,1,-2,-1,-4,1,-1,2
1584990510.3635826,-1,-2,1,1,2,0,2,0
1584990510.3635826,-2,-1,-1,-1,-2,1,1,-2
1584990510.365299,-3,-3,-1,0,-1,-2,-3,-1
1584990510.365299,1,0,1,-2,-2,0,-1,1
1584990510.3861403,1,1,-1,-3,2,1,2,0
1584990510.3861403,-1,0,-3,-4,-3,-1,-5,0
1584990510.3877778,1,-2,0,0,-1,0,0,-3
1584990510.3877778,-2,-1,0,-1,-1,-1,-2,-3
1584990510.3997214,1,-1,2,-1,-6,-4,0,1
1584990510.3997214,1,-2,-3,-4,-1,-2,1,-1
1584990510.4085698,0,-2,0,3,-5,-2,-1,1
1584990510.4085698,-1,-1,-3,0,1,1,1,-2
1584990510.4239757,-3,0,2,-3,-2,-3,-2,-2
1584990510.4239757,0,-3,-3,-2,0,-1,-4,-2
