timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1584990283.6665244,0,1,1,-3,0,0,-2,-3
1584990283.6665244,-4,-4,-4,-2,2,0,-4,1
1584990283.6679986,3,-4,3,-1,1,-3,0,-1
1584990283.6679986,4,-4,-2,0,1,-1,-3,1
1584990283.697654,-3,0,-3,1,1,0,-2,-2
1584990283.697654,2,6,4,2,0,-1,-3,-1
1584990283.6989996,7,-6,-1,-1,0,1,-3,8
1584990283.6989996,3,-3,1,0,1,0,1,-5
1584990283.70463,-27,3,-2,-2,-1,0,-1,-9
1584990283.70463,-3,3,-4,2,-3,0,-2,-5
1584990283.705712,4,-4,0,-4,-1,3,4,1
1584990283.705712,2,-5,0,1,-2,0,2,-1
1584990283.7264848,1,1,-3,-4,-2,0,1,3
1584990283.7264848,11,5,2,0,2,0,1,-1
1584990283.7278044,-30,0,3,-1,3,-2,-2,-4
1584990283.7278044,6,-4,0,-3,-1,2,-2,0
1584990283.7501678,3,-1,-6,-4,-3,-3,0,-2
1584990283.7501678,1,3,-1,0,-1,-2,1,2
1584990283.751547,-7,-4,-3,0,0,0,-2,-3
1584990283.751547,4,2,2,0,1,0,-1,-1
1584990283.7640185,0,-3,-1,0,-1,-1,0,-4
1584990283.7640185,-1,3,-4,-1,0,-2,-3,-1
1584990283.765225,-2,1,5,1,1,0,1,2
1584990283.765225,-3,-6,0,-3,-2,4,0,2
1584990283.786519,5,0,-1,-2,1,3,1,-2
1584990283.786519,0,-4,-3,-1,1,-3,-1,-3
1584990283.787439,8,10,7,8,3,-3,2,0
1584990283.787439,14,-5,-1,-2,0,-2,2,0
1584990283.8097613,-28,-4,-5,-3,2,-1,-1,-3
1584990283.8097613,2,-1,-5,-2,-1,-1,0,-2
1584990283.8111112,1,-7,0,-2,0,1,1,-2
1584990283.8111112,3,6,10,5,2,0,-3,1
1584990283.8240817,-1,-6,0,-2,2,1,-2,-1
1584990283.8240817,4,11,7,3,-2,-1,-2,-1
1584990283.8254454,-18,-10,-6,-6,-1,-1,-3,-5
1584990283.8254454,3,-8,-6,-3,3,-2,-1,3
1584990283.846488,-5,-3,2,1,0,2,-4,-4
1584990283.846488,0,12,1,1,0,0,1,0
1584990283.8478124,3,-4,-1,0,-3,-2,4,1
1584990283.8478124,6,-5,-3,-1,-1,-1,0,4
1584990283.869744,0,-4,-3,3,-3,3,0,2
1584990283.869744,9,5,1,2,1,-3,1,3
1584990283.871228,-24,2,2,0,4,0,2,-3
1584990283.871228,3,5,1,0,-2,-1,3,0
1584990283.8839564,6,-2,-4,-1,0,-1,-2,1
1584990283.8839564,-1,-1,-5,1,1,1,1,-2
1584990283.8852744,4,-2,3,1,-3,0,-1,2
1584990283.8852744,0,-3,0,0,1,1,1,-1
1584990283.9065025,-2,-7,-5,-3,-1,1,0,1
1584990283.9065025,-4,4,-6,-2,-3,-3,-4,1
1584990283.9077802,2,4,-1,-1,-1,0,-2,-1
1584990283.9077802,-1,-8,5,2,1,-2,0,-1
1584990283.9296098,1,6,3,-1,0,-4,1,2
1584990283.9296098,-11,-6,-2,-3,-1,-3,-3,-2
1584990283.9306667,1,4,-3,-3,1,-3,-1,-1
1584990283.9306667,4,6,-1,-1,1,-2,0,2
1584990283.9439652,1,2,4,5,0,0,1,1
1584990283.9439652,8,-1,-3,-2,-1,-1,-4,5
1584990283.9447472,-10,-4,-5,-2,1,-2,-2,-5
1584990283.9447472,0,-10,-2,0,-1,1,0,0
1584990283.9665134,1,9,2,-5,-3,-2,-2,3
1584990283.9665134,0,4,-3,2,-1,2,1,5
1584990283.9678166,13,4,3,-1,3,0,-2,0
1584990283.9678166,-18,-8,-3,-1,-3,-2,-3,-6
1584990283.9898527,6,1,1,-2,1,-1,-3,0
1584990283.9898527,2,1,-3,-1,-2,0,-3,2
1584990283.991561,-4,-3,-3,-1,1,-1,-2,-2
1584990283.991561,-2,-6,-1,-2,-1,1,-2,-2
1584990284.0040336,2,3,4,3,3,-4,-2,0
1584990284.0040336,5,4,0,0,-3,-2,0,1
1584990284.005311,-16,-1,4,2,-1,0,-1,-5
1584990284.005311,3,0,-5,-1,-2,2,-3,-3
1584990284.026478,3,-5,-5,0,-7,0,1,1
1584990284.026478,3,0,-1,-1,-1,-1,1,1
1584990284.027837,0,-4,-3,-3,0,-1,0,-2
1584990284.027837,2,0,1,0,-2,-1,1,0
1584990284.0568252,-1,1,2,2,-3,0,0,-2
1584990284.0568252,1,7,0,1,3,-1,-1,-2
1584990284.0660152,3,-3,-3,-4,-1,0,-2,-1
1584990284.0660152,-14,-9,-4,-1,0,-4,-2,1
1584990284.0676734,6,5,1,-2,2,-1,2,4
1584990284.0676734,-1,2,1,3,0,-3,1,-1
1584990284.0681255,-7,-3,-2,0,0,0,-2,-12
1584990284.0681255,4,-7,-1,-4,0,-1,-2,3
1584990284.0865107,4,-2,-1,-2,-1,-1,-1,-3
1584990284.0865107,1,-3,-7,-1,-3,-1,0,0
1584990284.0874074,-2,1,1,0,2,1,-2,3
1584990284.0874074,-2,7,4,1,0,0,3,-10
1584990284.109803,-3,-4,-2,-2,-5,-1,-1,1
1584990284.109803,-1,0,-4,0,-3,-4,-1,2
1584990284.1107056,-2,-3,-3,-5,0,2,1,-2
1584990284.1107056,-3,4,-1,-3,-2,5,-2,0
1584990284.1241286,15,-7,0,-3,0,-1,2,2
1584990284.1241286,-1,13,4,0,1,-1,0,-3
1584990284.1254587,-3,-5,-5,-5,0,0,-2,-5
1584990284.1254587,-1,-3,1,-2,-2,2,0,0
1584990284.146483,14,2,2,3,2,-2,1,2
1584990284.146483,-14,0,-5,-1,-1,1,2,-7
1584990284.1478112,5,1,1,-1,-1,1,-3,1
1584990284.1478112,-28,-4,-1,-1,-1,1,-5,-14
1584990284.1697118,12,-3,1,-1,-3,1,-4,8
1584990284.1697118,5,1,-1,0,-3,-1,0,0
1584990284.171125,12,3,0,-2,0,0,-1,0
1584990284.171125,-4,-5,2,5,2,-4,-2,-3
1584990284.1839497,-14,-1,-6,0,4,1,-2,0
1584990284.1839497,25,3,-2,-1,0,2,5,10
1584990284.1852396,9,9,6,2,3,2,-1,16
1584990284.1852396,-101,-16,-7,-3,0,-4,-8,-38
1584990284.206491,116,16,2,-1,-2,0,2,7
1584990284.206491,-85,-7,0,1,0,3,3,-7
1584990284.2078404,-31,-20,-10,-6,-5,-5,-16,-74
1584990284.2078404,-47,-20,-6,-9,-6,-15,-9,6
1584990284.2296453,9,4,0,-3,-1,6,1,10
1584990284.2296453,10,22,8,6,4,11,17,28
1584990284.2310321,37,-1,4,6,2,-25,-3,-15
1584990284.2310321,24,-1,-2,-5,-7,-9,-2,21
1584990284.2432969,0,-3,1,-3,3,-11,-3,41
1584990284.2432969,-20,-4,-7,-3,-12,-5,5,-77
1584990284.2514837,43,-10,-4,-5,-7,-12,-6,2
1584990284.2514837,-47,2,4,1,-2,22,8,36
1584990284.266508,-63,0,4,-1,2,-5,-9,33
1584990284.266508,50,27,16,10,7,3,17,-11
1584990284.267852,-128,-128,-61,-40,-35,-36,-73,-128
1584990284.267852,51,32,8,5,1,8,14,127
1584990284.2962346,-128,-8,10,7,9,16,1,-47
1584990284.2962346,119,2,1,-2,0,-16,-17,24
1584990284.3039896,-128,-21,-6,-6,-4,-11,7,39
1584990284.3039896,-17,4,7,7,3,14,36,-45
1584990284.3121712,-79,-46,-14,-10,-6,-19,-44,-128
1584990284.3121712,127,39,7,3,3,21,28,58
1584990284.3133974,-119,-9,5,10,8,5,-1,12
1584990284.3133974,127,39,0,6,5,20,76,127
1584990284.3346496,-105,-63,-18,-16,-16,-41,-111,-128
1584990284.3346496,-128,0,-5,1,0,-12,20,6
1584990284.335768,110,35,15,9,-42,-23,-5,47
1584990284.335768,-128,-70,-26,-10,58,25,7,-24
1584990284.3496356,-85,-8,-2,1,40,21,11,-11
1584990284.3496356,115,34,11,1,-52,-26,32,64
1584990284.3509386,-128,-32,-9,-3,17,-29,-19,25
1584990284.3509386,-103,-46,-3,-4,-10,12,-5,-112
1584990284.3722622,127,41,4,5,27,8,-33,96
1584990284.3722622,-116,-16,-11,-9,-13,5,2,-49
1584990284.3737564,-128,-8,3,-1,-9,37,30,94
1584990284.3737564,-12,1,2,8,-5,-13,36,-33
1584990284.386436,-22,-24,-6,-5,-7,-33,-21,26
1584990284.386436,127,-9,-30,-11,-2,13,11,-51
1584990284.38735,-65,36,51,10,8,11,-7,7
1584990284.38735,-11,2,-12,-4,1,-6,-8,-70
1584990284.418963,-20,-14,-7,-2,-10,-34,12,-128
1584990284.418963,127,-2,-7,9,10,1,-1,42
1584990284.4198444,127,18,-5,-10,-6,-10,-8,-28
