timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1584990353.1829007,-4,1,-3,0,1,0,-1,0
1584990353.1829007,-3,-2,-1,-3,-1,-2,-1,1
1584990353.1921933,-4,-2,0,-2,-1,0,-1,-1
1584990353.1921933,0,-3,-1,1,0,0,0,0
1584990353.206461,5,-6,-5,-2,-5,0,2,-2
1584990353.206461,3,5,-1,-4,0,0,1,1
1584990353.2089727,-1,0,3,-2,-1,0,-3,2
1584990353.2089727,1,-2,1,-1,0,2,-1,0
1584990353.2294028,0,0,-2,1,4,-3,1,-1
1584990353.2294028,-2,-1,-3,-3,4,-3,-1,-1
1584990353.230885,0,-6,-3,-3,-2,2,-2,0
1584990353.230885,0,-6,-2,-5,1,-2,-1,1
1584990353.2427886,-4,0,-4,-5,1,0,-2,1
1584990353.2427886,-1,0,-2,5,3,-2,-2,1
1584990353.251463,1,-1,0,-2,0,0,-3,0
1584990353.251463,-3,-3,-1,-2,0,1,-2,-2
1584990353.2664077,-3,6,0,-1,3,-1,2,0
1584990353.2664077,1,1,-1,1,-1,0,1,-2
1584990353.267988,3,0,-1,1,1,3,-1,-2
1584990353.267988,0,-4,-4,-1,-2,-2,-2,-1
1584990353.2890427,-3,-1,0,2,-1,4,-1,0
1584990353.2890427,0,-4,1,3,-2,-2,0,-1
1584990353.2951245,2,2,0,-4,-1,-1,-4,-1
1584990353.2951245,-2,-5,-1,-2,1,0,-1,-1
1584990353.302652,-2,1,1,-2,-3,2,-1,-1
1584990353.302652,2,0,-2,-3,-6,1,-1,0
1584990353.3115213,0,0,3,1,0,-2,-1,0
1584990353.3115213,-3,-1,0,-2,-1,-2,0,0
1584990353.326528,-1,3,-1,-2,-1,-2,1,1
1584990353.326528,0,1,0,2,-1,-4,-3,1
1584990353.328258,-2,-3,-2,-3,0,-2,1,-1
1584990353.328258,-1,2,3,-1,0,-2,-4,2
1584990353.3491035,2,0,-5,-1,1,0,1,-1
1584990353.3491035,-1,-1,-5,0,-4,-3,0,-2
1584990353.3504405,3,5,8,3,2,3,1,2
1584990353.3504405,1,-1,-3,1,2,-1,-3,1
1584990353.3626962,3,5,-2,1,-1,-2,-1,-1
1584990353.3626962,-3,-5,-4,-3,2,-1,-2,0
1584990353.372201,1,1,-2,-3,1,2,0,0
1584990353.372201,-4,1,-2,0,1,2,1,-1
1584990353.3857832,-5,2,0,-1,-1,1,0,-2
1584990353.3857832,7,1,-1,-1,-4,3,-1,2
1584990353.386682,-4,-1,-1,3,-2,-3,-1,-4
1584990353.386682,-6,-4,-2,-1,0,3,0,-8
1584990353.40826,-2,-3,-1,-2,-2,1,-2,1
