timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1584990410.6624794,1,2,-1,-3,1,-2,0,0
1584990410.664426,4,1,2,-1,-2,-2,2,-3
1584990410.664426,2,-4,0,-1,-3,3,-1,-5
1584990410.6772592,-18,-2,-2,-1,2,-2,-1,0
1584990410.6772592,1,1,-2,1,2,-2,-1,0
1584990410.679019,8,4,0,3,-3,1,-3,-1
1584990410.679019,4,-7,-2,-5,-1,0,-2,4
1584990410.7001143,0,-1,-2,-6,-4,2,1,3
1584990410.7001143,-6,-2,0,1,0,-1,1,3
1584990410.7018661,-4,0,-1,2,-4,-3,1,-8
1584990410.7018661,1,-4,2,0,-1,0,1,1
1584990410.7132697,6,0,-4,0,-1,0,-1,4
1584990410.7132697,4,1,1,-1,1,-1,0,0
1584990410.7221541,-14,-6,-3,-2,-1,2,-1,-4
1584990410.7221541,6,-7,-4,-1,-2,0,-1,-1
1584990410.7371004,11,9,6,-1,1,0,0,3
1584990410.7371004,0,-1,1,-4,1,-1,0,1
1584990410.7385345,-4,-2,-8,-1,0,1,-1,1
1584990410.7385345,7,-1,4,0,1,-1,1,4
1584990410.7596385,-30,-8,-2,-1,-1,1,-2,-4
1584990410.7596385,8,3,-1,-2,-1,-2,-3,0
1584990410.7613704,7,10,5,-2,-2,0,0,1
1584990410.7613704,11,-1,-1,0,-2,0,3,7
1584990410.7733016,24,-4,-4,-4,3,-2,0,2
1584990410.7733016,-44,0,-5,1,0,-3,-2,-9
1584990410.7821465,-10,1,-1,-1,2,0,1,-13
1584990410.7821465,2,0,0,-3,-1,-3,1,2
1584990410.7971368,9,1,-5,-2,2,0,0,1
1584990410.7971368,6,0,0,0,0,1,-1,5
1584990410.798902,1,2,3,3,-1,0,-1,2
1584990410.798902,5,-6,1,-1,0,-1,-3,0
1584990410.8196304,-2,-3,-1,-1,3,3,-1,-3
1584990410.8196304,-14,1,0,-4,0,-2,-2,-8
1584990410.821351,-5,-5,-3,0,-2,0,-2,0
1584990410.821351,4,-3,2,-2,-4,-1,-1,0
1584990410.8332767,7,9,5,3,0,1,1,3
1584990410.8332767,3,3,0,0,1,-2,0,-3
1584990410.8421335,-12,-4,1,2,2,3,0,-2
1584990410.8421335,1,0,0,-4,-1,2,-1,1
1584990410.8573048,3,0,0,0,-3,0,2,-1
1584990410.8573048,11,5,0,2,2,-3,2,-1
1584990410.8589997,-8,-2,1,1,-1,-5,0,-2
1584990410.8589997,4,-1,-1,1,-2,-1,-3,-1
1584990410.8796456,-11,-4,1,2,-1,-3,1,-10
1584990410.8796456,-28,-2,-2,0,-2,-3,-2,-3
1584990410.8814864,13,-1,-1,1,-1,-3,1,3
1584990410.8814864,11,1,0,0,-1,5,-1,4
1584990410.893306,5,-2,2,1,1,1,-5,3
1584990410.893306,8,6,-1,0,0,-2,-1,-3
1584990410.9022427,-26,0,0,-1,0,-2,-1,-5
1584990410.9022427,5,2,1,2,1,1,2,-2
1584990410.91713,3,-7,-7,-2,-4,1,-1,10
1584990410.91713,1,-1,-3,0,-1,2,-2,-8
1584990410.9191785,-2,2,4,1,5,-2,-1,0
1584990410.9191785,-6,-4,2,-1,0,-2,0,-3
1584990410.9401205,4,0,-4,2,3,-2,0,3
1584990410.9401205,8,-5,-6,-1,-5,0,0,3
1584990410.9415166,-34,1,0,-5,-4,0,-1,-10
1584990410.9415166,0,0,0,-1,1,0,0,-3
1584990410.9625764,9,0,1,4,-2,-1,3,2
1584990410.9625764,-5,-1,-1,-2,-1,-3,1,-1
1584990410.964157,10,-2,-1,-3,0,0,1,6
1584990410.964157,14,-5,-3,-1,-3,0,-1,-3
1584990410.9773247,-35,-3,-1,1,-1,-2,-1,-7
1584990410.9773247,7,2,-1,-2,2,0,0,3
1584990410.97915,9,10,7,-1,-3,0,3,2
1584990410.97915,6,-3,2,0,-1,0,2,5
1584990410.999636,7,-2,3,1,4,1,2,5
1584990410.999636,-23,1,-1,-1,-2,-1,-3,-4
1584990411.0015876,5,0,-1,-2,1,-1,1,4
1584990411.0015876,27,1,1,2,1,2,0,7
1584990411.022445,-46,-8,2,-2,1,-12,-3,-23
1584990411.022445,-46,1,-3,-2,-6,12,-6,-7
1584990411.024354,19,2,0,1,1,-2,2,5
1584990411.024354,13,0,-4,-5,0,0,-2,1
1584990411.037157,2,2,-1,0,-1,-1,3,-1
1584990411.037157,3,0,-1,-1,-2,-2,-1,2
1584990411.0384839,-1,-3,1,1,-3,0,3,1
1584990411.0384839,-3,-4,-5,-1,0,-2,0,-3
1584990411.0596175,-3,-2,-5,-5,1,1,0,-3
1584990411.0596175,-7,0,-3,-2,2,-1,-1,0
1584990411.0613973,-1,2,-1,2,3,-1,1,0
1584990411.0613973,0,0,0,-2,-4,-1,-3,3
1584990411.0827763,2,-1,-2,-2,0,-1,0,2
1584990411.0827763,2,2,-2,2,-1,0,1,1
1584990411.0845468,11,2,2,3,0,1,2,5
1584990411.0845468,3,2,2,-1,-3,-1,-2,1
1584990411.0975332,-68,-4,-1,0,2,-1,-8,-12
1584990411.0975332,8,3,-4,0,0,1,0,-6
1584990411.1032202,17,1,-1,0,0,0,-3,3
1584990411.1032202,17,0,1,2,1,-1,2,4
1584990411.119593,1,-2,1,0,3,1,0,2
1584990411.119593,-4,-1,-3,-1,1,0,-3,-6
1584990411.1213527,2,-4,-1,1,1,-1,1,3
1584990411.1213527,3,-3,0,-1,-2,1,0,6
1584990411.1427422,22,5,4,2,-2,2,0,2
1584990411.1427422,-3,5,1,1,-3,-2,1,1
1584990411.1454284,-36,-7,-1,-3,-5,-2,-4,-13
1584990411.1454284,4,0,2,-1,-2,-2,-1,1
1584990411.1562767,-9,-1,-1,-5,1,0,-5,2
1584990411.1562767,27,2,-3,-1,1,0,1,10
1584990411.16455,44,6,6,1,1,3,8,21
1584990411.16455,-79,-14,-4,-1,3,-5,-7,-39
1584990411.1803694,-25,-8,-2,-3,-3,-7,-3,-12
1584990411.1803694,20,0,-6,-3,-1,-3,1,3
1584990411.1837027,-7,1,-1,3,-5,-3,-1,2
1584990411.1837027,14,2,1,0,2,2,2,2
1584990411.2027497,19,-1,0,-3,-3,0,3,5
1584990411.2027497,-37,-5,-2,-2,-3,1,2,-5
1584990411.204133,3,2,-2,-1,-1,0,1,-2
1584990411.204133,19,-2,1,1,1,0,0,3
