timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1587419962.9587264,0,-4,-2,-1,1,-1,1,0
1587419962.9587264,-4,6,2,2,-3,1,2,1
1587419962.9607065,4,12,3,5,0,-4,1,-1
1587419962.9607065,0,-7,-3,0,3,0,2,-2
1587419962.9737022,1,3,1,-3,2,3,0,-1
1587419962.9737022,5,4,8,2,3,4,-3,3
1587419962.9754164,4,-2,0,9,-1,1,-1,1
1587419962.9754164,4,3,0,1,-1,1,1,0
1587419962.9874048,-5,-1,2,22,1,-2,1,3
1587419962.9874048,-4,-8,-1,7,0,0,1,-3
1587419962.9962373,2,13,5,4,0,-2,-3,-6
1587419962.9962373,-6,-5,3,-7,1,4,1,-2
1587419963.009885,-2,0,-7,-15,-3,1,-4,-3
1587419963.009885,-5,-3,-2,-10,-4,-1,-5,0
1587419963.0186992,6,-1,-3,-6,0,-2,-5,-1
1587419963.0186992,4,-10,3,1,1,0,0,-3
1587419963.033729,-7,-2,4,0,2,0,-2,-3
1587419963.033729,5,13,2,4,6,-1,3,-3
1587419963.0352342,-4,-4,5,0,-3,-1,-3,-2
1587419963.0352342,0,-2,4,-9,3,2,-1,-4
1587419963.0473585,-3,-2,3,-3,0,-1,-4,2
1587419963.0473585,-7,-2,-3,-3,-5,1,-3,2
1587419963.0561793,-4,0,2,2,-1,-7,-2,-4
1587419963.0561793,0,-10,-1,0,2,-4,-1,0
1587419963.0699544,1,-5,-2,-3,-1,-4,-5,5
1587419963.0699544,2,4,-5,-9,2,0,-3,4
1587419963.078722,-6,2,-6,1,2,-2,-3,0
1587419963.078722,-4,0,0,0,-3,-1,-4,5
1587419963.0937698,2,-1,-1,-5,-4,-1,-1,-2
1587419963.0937698,0,-3,1,7,-1,1,-4,-4
1587419963.0954022,4,1,4,4,-4,1,-3,3
1587419963.0954022,2,1,0,0,0,-1,0,0
1587419963.107389,-1,2,0,-2,-3,0,0,-1
1587419963.107389,-6,2,-4,3,-4,0,-2,0
1587419963.116238,3,-3,-3,-7,-7,0,-2,2
1587419963.116238,-1,-5,-4,0,-4,5,1,2
1587419963.129884,2,19,5,0,2,3,3,4
1587419963.129884,-7,-1,4,-5,0,5,0,5
1587419963.1387773,2,2,1,1,0,1,0,-1
1587419963.1387773,4,-8,2,-3,1,-1,0,-2
1587419963.1537323,-2,-8,2,-3,-1,-5,-2,-1
1587419963.1537323,1,0,-3,-1,-2,-3,-1,2
1587419963.155166,3,3,-2,0,4,3,1,2
